name,specie,esd,opt,group
Paraceradocus gibber,Paraceradocus gibber,23035.2952918789,11171.4122687261,Invertebrate
Paracyclops fibriatus,Paracyclops fibriatus,424.667067731039,424.667067731039,Invertebrate
Paraeuchaeta antarctica,Paraeuchaeta antarctica,2491.69835524625,2169.95995781476,Invertebrate
Paragymnodinium shiwhaense,Paragymnodinium shiwhaense,12.4,6.6,Plankton
Paragymnodinium shiwhaense,Paragymnodinium shiwhaense,12.4,9.7,Plankton
Paralaophonte brevirostris,Paralaophonte brevirostris,424.667067731039,424.667067731039,Invertebrate
Paralichthys dentatus,Paralichthys dentatus,77934.562240447,17374.6654719471,Fish
Paralichthys oblongus,Paralichthys oblongus,78319.4227918993,8019.02770543186,Fish
Parapleustes bicuspis,Parapleustes bicuspis,2128.2883212486,1708.57836945053,Invertebrate
Pareledone antarctica,Pareledone antarctica,38118.265020254,31263.7056718709,Invertebrate
Pareledone charcoti,Pareledone charcoti,18471.6251125732,49628.039271952,Invertebrate
Penilia avirostris,Penilia avirostris,678.574977434329,15.8113883008419,Invertebrate
Periphylla periphylla,Periphylla periphylla,17276.4714689092,5611.09605663569,Jellyfish
Pfiesteria piscicida,Pfiesteria piscicida,13.5,6.1,Plankton
Philine aperta,Philine aperta,280,6.5,Invertebrate
Philine aperta,Philine aperta,392,5.62433996127546,Invertebrate
Philine aperta,Philine aperta,317,4.4,Invertebrate
Philine aperta,Philine aperta,214,4.6,Invertebrate
Philine aperta,Philine aperta,149,3.57130228348147,Invertebrate
Philine aperta,Philine aperta,441,4.5,Invertebrate
Philine aperta,Philine aperta,255.90232511644,5.44514462617845,Invertebrate
Phoca vitulina,Phoca vitulina,782829.396769739,6218.23492826382,Mammals
Phocarctos hookeri,Phocarctos hookeri,392344.099769132,133967.810402195,Mammals
Phocoena phocoena,Phocoena phocoena,621823.492826381,53333.5459444652,Mammals
Physeter catodon,Physeter catodon,457439.636138768,114903.641525165,Mammals
Pleuragramma antarcticum,Pleuragramma antarcticum,8612.95094515873,121.380479810693,Fish
Pleurobrachia bachei,Pleurobrachia bachei,8000,812.403840463596,Jellyfish
Pleustes panoplus,Pleustes panoplus,2826.79501725216,2128.2883212486,Invertebrate
Podon intermedius,Podon intermedius,566.97178060288,14.3178210632764,Invertebrate
Podon intermedius,Podon intermedius,482.458061943285,616.480222073676,Invertebrate
Pollachius pollachius,Pollachius pollachius,242545.583711063,36036.3015628488,Fish
Pollachius virens,Pollachius virens,167103.982041622,42374.725947288,Fish
Polykrikos kofoidii,Polykrikos kofoidii,43.5,34,Plankton
Polykrikos kofoidii,Polykrikos kofoidii,43.5,37.9,Plankton
Polyphemus pediculus,Polyphemus pediculus,2347.09147195811,160.874035846574,Invertebrate
Polyplectropus puerilis,Polyplectropus puerilis,829.159156806342,592.002738179614,Invertebrate
Pomatomus saltatrix,Pomatomus saltatrix,84331.6968588624,16038.0554108637,Fish
Pontella meadi,Pontella meadi,424.667067731039,424.667067731039,Invertebrate
Pontella pennata,Pontella pennata,424.667067731039,424.667067731039,Invertebrate
Pontoporia blainvillei,Pontoporia blainvillei,3633572.18667025,53333.5459444652,Mammals
Primno macropa,Primno macropa,7710.2928416282,1637.73289129262,Invertebrate
Procladius sagittalis,Procladius sagittalis,4383.42239767513,2541.94769324182,Invertebrate
Prorocentrum donghaiense,Prorocentrum donghaiense,13.2,5.6,Plankton
Prorocentrum micans,Prorocentrum micans,26.6,5.6,Plankton
Prorocentrum minimum,Prorocentrum minimum,12.1,5.6,Plankton
Prorocentrum triestinum,Prorocentrum triestinum,12.6,5.6,Plankton
Protoperidinium bipes,Protoperidinium bipes,7.8,5.9,Plankton
Protoperidinium conicum,Protoperidinium conicum,45.7,35.2,Plankton
Protoperidinium crassipes,Protoperidinium crassipes,73,36.6,Plankton
Protoperidinium depressum,Protoperidinium depressum,81,35.2,Plankton
Protoperidinium divergens,Protoperidinium divergens,61,38.2,Plankton
Protoperidinium excentricum,Protoperidinium excentricum,35.8,35.2,Plankton
Protoperidinium hirobis,Protoperidinium hirobis,8.7,19.7,Plankton
Protoperidinium huberi,Protoperidinium huberi,26.5,26.5,Plankton
Protoperidinium pallidum,Protoperidinium pallidum,46.6,35.2,Plankton
Protoperidinium pellucidum,Protoperidinium pellucidum,36.1,26.5,Plankton
Protoperidinium spiniferum,Protoperidinium spiniferum,45,19.7,Plankton
Protoperidinium steinii,Protoperidinium steinii,25.8,15,Plankton
Protoperidinium vorax,Protoperidinium vorax,21,4,Plankton
Pseudocalanus minutus,Pseudocalanus minutus,414,14.4,Invertebrate
Pseudodiaptomus coronatus,Pseudodiaptomus coronatus,424.667067731039,424.667067731039,Invertebrate
Pseudosagitta maxima,Pseudosagitta maxima,8743.59045590235,2203.24673341026,Invertebrate
Psychroteuthis glacialis,Psychroteuthis glacialis,113718.38961718,21966.6983836133,Invertebrate
Raja clavata,Raja clavata,181234.725997958,34933.197700053,Fish
Raja erinacea,Raja erinacea,98189.4145777848,8553.62955246065,Fish
Raja montagui,Raja montagui,174047.699421024,23227.8023723182,Fish
Raja naevus,Raja naevus,210704.29393013,19867.1156065942,Fish
Raja ocellata,Raja ocellata,201354.914069448,31541.3042039172,Fish
Rhachotropis antarctica,Rhachotropis antarctica,7005.26594964442,10802.2718965565,Invertebrate
Rhincalanus gigas,Rhincalanus gigas,3367.78060192126,2190.0533228654,Invertebrate
Rhincalanus nasutus,Rhincalanus nasutus,424.667067731039,424.667067731039,Invertebrate
Rhizophysa eysenhardti,Rhizophysa eysenhardti,2500,6708.20393249937,Jellyfish
Rhizoprionodon terraenovae,Rhizoprionodon terraenovae,104039.572783347,29594.0504205146,Fish
Rhodalia miranda,Rhodalia miranda,6592.20765050887,1588.81582727107,Jellyfish
Rhopilema verrilli,Rhopilema verrilli,21897.2177014275,689.84497523783,Jellyfish
Robertsonia chesapeakensis,Robertsonia chesapeakensis,424.667067731039,424.667067731039,Invertebrate
Rosacea cymbiformis,Rosacea cymbiformis,3200,741.619848709566,Jellyfish
Sagitta elegans,Sagitta elegans,681.909084849293,173.205080756888,Invertebrate
Sagitta elegans,Sagitta elegans,2156.38586528478,474.341649025257,Invertebrate
Sagitta elegans,Sagitta elegans,4384.0620433566,547.722557505166,Invertebrate
Sagitta elegans,Sagitta elegans,1788.85438199983,479.583152331272,Invertebrate
Sagitta elegans,Sagitta elegans,632.455532033676,433.012701892219,Invertebrate
Sagitta elegans,Sagitta elegans,236.220236220354,69.282032302755,Invertebrate
Sagitta elegans,Sagitta elegans,1385.6406460551,651.920240520265,Invertebrate
Sagitta elegans,Sagitta elegans,1788.85438199983,367.423461417477,Invertebrate
Sagitta elegans,Sagitta elegans,681.909084849293,141.42135623731,Invertebrate
Sagitta elegans,Sagitta elegans,4384.0620433566,264.575131106459,Invertebrate
Sagitta elegans,Sagitta elegans,979.795897113271,447.213595499958,Invertebrate
Sagitta elegans,Sagitta elegans,236.220236220354,77.459666924148,Invertebrate
Sagitta elegans,Sagitta elegans,2156.38586528478,200,Invertebrate
Sagitta enflata,Sagitta enflata,551.361950083609,284.604989415154,Invertebrate
Sagitta friederici,Sagitta friederici,1240.96736459909,264.575131106459,Invertebrate
Sagitta hispida,Sagitta hispida,558.569601750758,132.28756555323,Invertebrate
Sagitta hispida,Sagitta hispida,1873.49939951952,236.643191323985,Invertebrate
Sagitta marri,Sagitta marri,1354.09222154214,2203.24673341026,Invertebrate
Sagitta minima,Sagitta minima,972.625313263026,158.113883008419,Invertebrate
Sagitta setosa,Sagitta setosa,600,178.885438199983,Invertebrate
Sagitta setosa,Sagitta setosa,1897.36659610103,324.037034920393,Invertebrate
Salpa cylindrica,Salpa cylindrica,4100,19.748417658132,Jellyfish
Salpa thompsoni,Salpa thompsoni,6442.33253015115,1927.57321040705,Jellyfish
Scomber scombrus,Scomber scombrus,72933.7782125393,22361.2370887829,Fish
Scophthalmus aquosus,Scophthalmus aquosus,81956.8407402613,13365.0461757198,Fish
Scorpaenodes sp.,Scorpaenodes sp.,2133.45363861707,161.369398188186,Fish
Scottolana canadensis,Scottolana canadensis,424.667067731039,424.667067731039,Invertebrate
Scyliorhinus canicula ,Scyliorhinus canicula,91570.7730725618,42026.1897047911,Fish
Sebastes sp.,Sebastes sp.,3247.9999057188,2983.12917357501,Fish
Six-species,Six-species sp.,70710.6781186548,31.622776601684,Jellyfish
Solmundella bitentaculata,Solmundella bitentaculata,18471.6251125732,2990.26587343699,Invertebrate
Sotalia fluviatilis,Sotalia fluviatilis,392344.099769132,62182.3492826381,Mammals
Sotalia guianensis,Sotalia guianensis,457439.636138768,84527.9738971949,Mammals
Sperchon glandulosus,Sperchon glandulosus,655.146556497435,462.498553880529,Invertebrate
Sphaeronectes gracilis,Sphaeronectes gracilis,800,519.615242270663,Jellyfish
Squalus acanthias,Squalus acanthias,167345.297628458,29937.5045476753,Fish
Stenosemella ventricosa,Stenosemella ventricosa,62,5.92452529743945,Plankton
Stoeckeria algicida,Stoeckeria algicida,13.9,11.5,Plankton
Strobilidium sp.,Strobilidium sp.,40,6.10245852095694,Plankton
Strobilidium spiralis,Strobilidium spiralis,54.7722557505166,4.84974226119286,Plankton
Strombidium reticulatum,Strombidium reticulatum,42,7.9,Plankton
Strombidium sp.,Strombidium sp.,20,2.8,Plankton
Strombidium spp,Strombidium spp,25,3.70405183549043,Plankton
Strombidium vestitum,Strombidium vestitum,26,2.1,Plankton
Sulculeolaria chuni,Sulculeolaria chuni,1200,282.842712474619,Jellyfish
Sulculeolaria quadrivalvis,Sulculeolaria quadrivalvis,800,707.106781186548,Jellyfish
Sulculeolaria quadrivalvis,Sulculeolaria quadrivalvis,800,346.410161513775,Jellyfish
Symbiodinium sp.,Symbiodinium sp.,11.1,11.5,Plankton
Takayama helix,Takayama helix,27.4,15,Plankton
Takayama helix,Takayama helix,27.4,31.2,Plankton
Takayama helix,Takayama helix,27.4,20.4,Plankton
Takayama tasmanica,Takayama tasmanica,24.3,21.9,Plankton
Temora longicornis,Temora longicornis,563.92626615601,424.667067731039,Invertebrate
Temora longicornis,Temora longicornis,558,15,Invertebrate
Temora stylifera,Temora stylifera,563.92626615601,424.667067731039,Invertebrate
Temora turbinata,Temora turbinata,563.92626615601,424.667067731039,Invertebrate
Thalia democratica,Thalia democratica,7700,7.874007874012,Jellyfish
Themisto gaudichaudii,Themisto gaudichaudii,6119.66348389174,1637.73289129262,Invertebrate
Theragra chalcogramma,Theragra chalcogramma,3942.95608378977,161.332718321898,Fish
Thunnus alalunga ,Thunnus alalunga,219794.883511675,9112.21588102452,Fish
Thunnus albacares,Thunnus albacares,376893.360999854,12809.0617646434,Fish
Thunnus obesus,Thunnus obesus,300239.129275776,16305.3323890842,Fish
Thunnus thynnus,Thunnus thynnus,638163.39983239,28052.649174262,Fish
Thysanoessa macrura,Thysanoessa macrura,6592.20765050887,2763.46871226203,Invertebrate
Thysanoessa raschii,Thysanoessa raschii,4041.92677733456,1070.95054581372,Invertebrate
Tintinnopsis beroidea,Tintinnopsis beroidea,54,3.42928563989645,Plankton
Tisbe furcata,Tisbe furcata,424.667067731039,424.667067731039,Invertebrate
Tortanus discaudatus,Tortanus discaudatus,424.667067731039,424.667067731039,Invertebrate
Trachurus trachurus,Trachurus trachurus,53129.8126482539,6907.25432641327,Fish
Trisopterus luscus,Trisopterus luscus,100142.160275751,22119.9867986838,Fish
Trisopterus minutus,Trisopterus minutus,38242.7283601194,8019.02770543186,Fish
Tropocyclops prasinus,Tropocyclops prasinus,235.630036067747,143.585645620551,Invertebrate
Tryphosella murrayi,Tryphosella murrayi,13540.9222154214,11171.4122687261,Invertebrate
Tursiops truncatus,Tursiops truncatus,533335.459444651,144655.114223718,Mammals
Unspecified,Unspecified sp.,10,2.41453929352993,Plankton
Upogebia macginitieorum,Upogebia macginitieorum,25013.1870958318,410.80526490823,Invertebrate
Uristes gigas,Uristes gigas,10406.0153720115,13540.9222154214,Invertebrate
Urophycis regia,Urophycis regia,62581.0997258114,10692.0369405758,Fish
Urophycis tenuis,Urophycis tenuis,120629.829670278,40095.1385271593,Fish
Urophysis chuss,Urophysis chuss,100509.951934385,10849.8809084657,Fish
Ursus maritimus,Ursus maritimus,1821099.99242226,57588.2382296972,Mammals
Vibilia antarctica,Vibilia antarctica,594.471932086807,1637.73289129262,Invertebrate
Vibilia stebbingi,Vibilia stebbingi,594.471932086807,1637.73289129262,Invertebrate
Waldeckia obesa,Waldeckia obesa,13540.9222154214,13184.4153010177,Invertebrate
Woloszynskia cincta,Woloszynskia cincta,13.4,11.5,Plankton
Xiphias gladius,Xiphias gladius,549874.233492725,39207.1880625379,Fish
Yihiella yeosuensis,Yihiella yeosuensis,7.8,5.6,Plankton
Zalophus californianus,Zalophus californianus,912712.06736076,621823.492826381,Mammals
Zausodes arenicolus,Zausodes arenicolus,424.667067731039,424.667067731039,Invertebrate
Zeus faber,Zeus faber,24096.7278851744,11517.6476459394,Fish
Ziphius cavirostris,Ziphius cavirostris,533335.459444651,91271.206736076,Mammals
Zygabikodinium lenticulatum,Zygabikodinium lenticulatum,50,35.2,Plankton
