name,specie,esd,opt,type,group,tag
Hyperiella dilatata,Hyperiella dilatata,2216.28399975228,2190.0533228654,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Hyperoodon ampullatus,Hyperoodon ampullatus,845279.738971949,57588.2382296972,Fish,Mammals,Mammals - Fish
Illybius fuliginosus,Illybius fuliginosus,10747.4370846897,7332.24593664384,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Iphimedia minuta,Iphimedia minuta,1488.46772539981,15464.899488884,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Iphimedia nexa,Iphimedia nexa,2557.35215102886,15464.899488884,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Iphimedia perplexa,Iphimedia perplexa,1820.50901056818,15464.899488884,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Jehlius cirratus nuplii,Jehlius cirratus,460,21.9089023002066,Meroplankton,Invertebrate,Invertebrate - Meroplankton
Karlodinium armiger,Karlodinium armiger,16.7,10.7,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Karlodinium armiger,Karlodinium armiger,14.9,9.8,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Karlodinium veneficum,Karlodinium veneficum,11,6.6,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Katodinium glaucum,Katodinium glaucum,21.5,10.9,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Kogia breviceps,Kogia breviceps,2292629.05787855,72499.2965278222,Fish,Mammals,Mammals - Fish
Labidocera aestiva,Labidocera aestiva,424.667067731039,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Labidocera wollastoni,Labidocera wollastoni,424.667067731039,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Lagenorhynchus obliquidens,Lagenorhynchus obliquidens,912712.06736076,57588.2382296972,Fish,Mammals,Mammals - Fish
Lampanyctus crocodilus,Lampanyctus crocodilus,1264.55707802187,86.8954647211419,planktivorous,Fish,Fish - planktivorous
Lebbeus polaris,Lebbeus polaris,4592.14224936319,737.439567986421,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Lepidorhombus whiffiagonis,Lepidorhombus whiffiagonis,94669.3956593584,22966.9466112342,piscivorous,Fish,Fish - piscivorous
Leptodora kindtii,Leptodora kindtii,2057.41581307297,349.743618236094,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Leptonychotes weddellii,Leptonychotes weddellii,621823.492826381,62182.3492826381,Fish,Mammals,Mammals - Fish
Liljeborgia georgiana,Liljeborgia georgiana,10406.0153720115,13184.4153010177,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Limacina helicina,Limacina helicina,2128.2883212486,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Limacina helicina antarctica,Limacina helicina,564.126381952139,2203.24673341026,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Lingulodinium polyedra,Lingulodinium polyedra,36.6,12.1,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Lingulodinium polyedrum,Lingulodinium polyedrum,36.6,25.1,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Liriope tetraphylla,Liriope tetraphylla,4592.14224936319,689.84497523783,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Lissodelphis borealis,Lissodelphis borealis,912712.06736076,45743.9636138768,Fish,Mammals,Mammals - Fish
Lobodon carcinophaga,Lobodon carcinophaga,621823.492826381,31164.9996174102,Zooplankton,Mammals,Mammals - Zooplankton
Lohmaniella spiralis,Lohmaniella spiralis,66,9.7,Ciliates,Plankton,Plankton - Ciliates
Lohmanniella oviformis,Lohmanniella oviformis,25,3.95979797464467,Ciliates,Plankton,Plankton - Ciliates
Loligo pealeii,Loligo pealeii,48617.6313711829,9138.9721509554,predacious,Fish,Fish - predacious
Lontra canadensis,Lontra canadensis,782829.396769739,57588.2382296972,Benthic Invertebrate,Mammals,Mammals - Benthic Invertebrate
Lophius americanus,Lophius americanus,165629.627407806,50787.1754677351,piscivorous,Fish,Fish - piscivorous
Lophius budegassa,Lophius budegassa,75931.9017922341,29722.8760148323,piscivorous,Fish,Fish - piscivorous
Lophius piscatorius,Lophius piscatorius,113366.299699933,53991.7118420953,piscivorous,Fish,Fish - piscivorous
Luciella masanensis,Luciella masanensis,13.5,6.1,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Lumbrinereis,Lumbrinereis sp.,17930.117302699,9888.60445408933,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Lumpenella longirostris,Lumpenella longirostris,3047.40603102771,170.596179922546,predacious,Fish,Fish - predacious
Lumpenus sagitta,Lumpenus sagitta,2757.11857734324,188.64903614176,predacious,Fish,Fish - predacious
Lyrocteis flavopallidus,Lyrocteis flavopallidus,7132.66225010711,943.665370360165,tentacled,Jellyfish,Jellyfish - tentacled
Martialia hyadesi,Martialia hyadesi,85737.6888612011,41528.3059207708,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Mediomastus fragile,Mediomastus fragile,148,6.9,Meroplankton,Invertebrate,Invertebrate - Meroplankton
Megaptera novaeangliae,Megaptera novaeangliae,267300.923514395,9855.23820692924,Zooplankton,Mammals,Mammals - Zooplankton
Melphidippa antarctica,Melphidippa antarctica,9646.42544023908,15366.8549839116,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Mercenaria mercenaria,Mercenaria mercenaria,100,4.1,Meroplankton,Invertebrate,Invertebrate - Meroplankton
Merlangius merlangus,Merlangius merlangus,81281.2023970053,28024.7118996212,piscivorous,Fish,Fish - piscivorous
Merluccius bilinearis,Merluccius bilinearis,67127.515280302,26730.0923514395,piscivorous,Fish,Fish - piscivorous
Merluccius merluccius,Merluccius merluccius,72530.0197121779,39836.8695984448,piscivorous,Fish,Fish - piscivorous
Merluccius productus,Merluccius productus,3548.06824344012,120.273974453747,predacious,Fish,Fish - predacious
Mertensia ovum,Mertensia ovum,7019.14647547967,1148.60000116914,tentacled,Jellyfish,Jellyfish - tentacled
Mesocyclops edax,Mesocyclops edax,267.300923514395,151.757730259811,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Mesonychoteuthis hamiltoni,Mesonychoteuthis hamiltoni,594471.932086806,113718.38961718,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Mesoplodon carlhubbsi,Mesoplodon carlhubbsi,3923440.99769132,72499.2965278222,Fish,Mammals,Mammals - Fish
Mesoplodon densirostris,Mesoplodon densirostris,1446551.14223718,67142.9562905789,Fish,Mammals,Mammals - Fish
Mesoplodon layardii,Mesoplodon layardii,1240700.9817988,67142.9562905789,Fish,Mammals,Mammals - Fish
Mesoplodon mirus,Mesoplodon mirus,1339678.10402195,31164.9996174102,Fish,Mammals,Mammals - Fish
Metridia gerlachei,Metridia gerlachei,1637.73289129262,2190.0533228654,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Metridia princeps,Metridia princeps,1216.96814734343,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Mirounga angustirostris,Mirounga angustirostris,1446551.14223718,67142.9562905789,Fish,Mammals,Mammals - Fish
Mirounga leonina,Mirounga leonina,1339678.10402195,114903.641525165,Fish,Mammals,Mammals - Fish
Mnemiopsis leidyi,Mnemiopsis leidyi,5802.0340228473,689.84497523783,tentacled,Jellyfish,Jellyfish - tentacled
Mnemiopsis leidyi,Mnemiopsis leidyi,55515.7635271281,3162.27766016838,tentacled,Jellyfish,Jellyfish - tentacled
Monoculodes longirostris,Monoculodes longirostris,1820.51150767554,1070.95054581372,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Monodon monoceros,Monodon monoceros,1446551.14223718,62182.3492826381,Fish,Mammals,Mammals - Fish
Moroteuthis ingens,Moroteuthis ingens,117527.663190338,30800.9611887559,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Muggiaea atlantica,Muggiaea atlantica,500,632.455532033676,tentacled,Jellyfish,Jellyfish - tentacled
Mustelus canis,Mustelus canis,185029.178577263,14574.5380206544,piscivorous,Fish,Fish - piscivorous
Myctophum asperum,Myctophum asperum,2858.29530954857,232.733769869572,predacious,Fish,Fish - predacious
Myctophum punctatum,Myctophum punctatum,2505.54605348724,134.387702088586,planktivorous,Fish,Fish - planktivorous
Myicola major,Myicola major,424.667067731039,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Myoxocephalus octodecimspinosus,Myoxocephalus octodecimspinosus,79338.774443381,8877.83550953051,piscivorous,Fish,Fish - piscivorous
Mysidopsis bigelowi,Mysidopsis bigelowi,1574.23581771547,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Mytilus edulis,Mytilus edulis,241,2.9,Meroplankton,Invertebrate,Invertebrate - Meroplankton
Mytilus edulis,Mytilus edulis,236,2.9,Meroplankton,Invertebrate,Invertebrate - Meroplankton
Mytilus edulis,Mytilus edulis,261.992366301005,3,Meroplankton,Invertebrate,Invertebrate - Meroplankton
Mytilus edulis,Mytilus edulis,99,2.9,Meroplankton,Invertebrate,Invertebrate - Meroplankton
Nanomia bijuga,Nanomia bijuga,3000,1732.05080756888,tentacled,Jellyfish,Jellyfish - tentacled
Nematocarcinus lanceopes,Nematocarcinus lanceopes,13184.4153010177,1536.68549839116,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Nemopsis bachei,Nemopsis bachei,2275.12541639405,689.84497523783,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Neomysis americana,Neomysis americana,2128.2883212486,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Nereis virens,Nereis virens,8963.90997547056,4592.13379641342,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Notocrangon antarcticus,Notocrangon antarcticus,8907.05978299811,12407.009817988,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Notolepis rissoi,Notolepis rissoi,1480.04408252976,74.6699710627743,planktivorous,Fish,Fish - planktivorous
Notonecta glauca,Notonecta glauca,14009.2345076804,7287.56870061421,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Nototheniops larseni,Nototheniops larseni,5160.23337921812,120.345445825005,planktivorous,Fish,Fish - planktivorous
Oblea rotundata,Oblea rotundata,21.6,33,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Ochromonas danica,Ochromonas danica,6.1,1.4,Flagellate,Plankton,Plankton - Flagellate
Ochromonas sp.a,Ochromonas sp.a,2.5,0.396862696659689,Flagellate,Plankton,Plankton - Flagellate
Oediceroides calmani,Oediceroides calmani,11565.4392624423,10406.0153720115,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Oediceroides emarginatus,Oediceroides emarginatus,23035.2952918789,10406.0153720115,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Oithona colcarva,Oithona colcarva,2866.25253482416,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Oithona nana,Oithona nana,890.705978299812,616.480222073676,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Ommatophoca rossii,Ommatophoca rossii,1339678.10402195,84527.9738971949,Fish,Mammals,Mammals - Fish
Oncorhynchus gorbuscha,Oncorhynchus gorbuscha,6769.62771761023,417.985994028805,predacious,Fish,Fish - predacious
Oncorhynchus keta,Oncorhynchus keta,15089.3129730105,536.050254304327,predacious,Fish,Fish - predacious
Oncorhynchus nerka,Oncorhynchus nerka,46803.6135897789,3743.57621272075,predacious,Fish,Fish - predacious
Ophiodon elongatus,Ophiodon elongatus,8524.73105019138,302.913039638456,predacious,Fish,Fish - predacious
Orcinus orca,Orcinus orca,724992.965278222,2673009.23514395,Mammal,Mammals,Mammals - Mammal
Orthocyclops modestus,Orthocyclops modestus,394.716925873423,74.3270014464835,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Ostrea edulis,Ostrea edulis,208,3.6,Meroplankton,Invertebrate,Invertebrate - Meroplankton
Otaria flavescens,Otaria flavescens,4939319.57366866,72499.2965278222,Fish,Mammals,Mammals - Fish
Oxyrrhis marina,Oxyrrhis marina,15.6,9.1,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Oxyrrhis marina,Oxyrrhis marina,15.6,11.5,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Palaemon elegans,Palaemon elegans,10165.3270484286,6592.20765050887,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Palaemon longirostris,Palaemon longirostris,6635.86592713814,6488.02435859126,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Palaemon northropi,Palaemon northropi,7969.21879486843,7107.54703422535,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Palaemon serratus,Palaemon serratus,2673.00923514395,2673.00923514395,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Palaemonetes intermedius,Palaemonetes intermedius,5418.49868232184,633.146024622734,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Palaemonetes pugio,Palaemonetes pugio,6099.28903331609,633.146024622734,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Palaemonetes vulgaris,Palaemonetes vulgaris,6099.28903331609,633.146024622734,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Pandalus montagui,Pandalus montagui,14822.3504545983,590.080105310309,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Paracalanus crassirostris,Paracalanus crassirostris,713.812643742727,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Paracalanus indicus,Paracalanus indicus,713.812643742727,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Paraceradocus gibber,Paraceradocus gibber,23035.2952918789,11171.4122687261,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Paracyclops fibriatus,Paracyclops fibriatus,424.667067731039,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Paraeuchaeta antarctica,Paraeuchaeta antarctica,2491.69835524625,2169.95995781476,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Paragymnodinium shiwhaense,Paragymnodinium shiwhaense,12.4,6.6,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Paragymnodinium shiwhaense,Paragymnodinium shiwhaense,12.4,9.7,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Paralaophonte brevirostris,Paralaophonte brevirostris,424.667067731039,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Paralichthys dentatus,Paralichthys dentatus,77934.562240447,17374.6654719471,piscivorous,Fish,Fish - piscivorous
Paralichthys oblongus,Paralichthys oblongus,78319.4227918993,8019.02770543186,piscivorous,Fish,Fish - piscivorous
Parapleustes bicuspis,Parapleustes bicuspis,2128.2883212486,1708.57836945053,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Pareledone antarctica,Pareledone antarctica,38118.265020254,31263.7056718709,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Pareledone charcoti,Pareledone charcoti,18471.6251125732,49628.039271952,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Penilia avirostris,Penilia avirostris,678.574977434329,15.8113883008419,sessile herbivorous,Invertebrate,Invertebrate - sessile herbivorous
Periphylla periphylla,Periphylla periphylla,17276.4714689092,5611.09605663569,tentacled,Jellyfish,Jellyfish - tentacled
Pfiesteria piscicida,Pfiesteria piscicida,13.5,6.1,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Philine aperta,Philine aperta,280,6.5,Meroplankton,Invertebrate,Invertebrate - Meroplankton
Philine aperta,Philine aperta,392,5.62433996127546,Meroplankton,Invertebrate,Invertebrate - Meroplankton
Philine aperta,Philine aperta,317,4.4,Meroplankton,Invertebrate,Invertebrate - Meroplankton
Philine aperta,Philine aperta,214,4.6,Meroplankton,Invertebrate,Invertebrate - Meroplankton
Philine aperta,Philine aperta,149,3.57130228348147,Meroplankton,Invertebrate,Invertebrate - Meroplankton
Philine aperta,Philine aperta,441,4.5,Meroplankton,Invertebrate,Invertebrate - Meroplankton
Philine aperta,Philine aperta,255.90232511644,5.44514462617845,Meroplankton,Invertebrate,Invertebrate - Meroplankton
Phoca vitulina,Phoca vitulina,782829.396769739,6218.23492826382,Fish,Mammals,Mammals - Fish
Phocarctos hookeri,Phocarctos hookeri,392344.099769132,133967.810402195,Fish,Mammals,Mammals - Fish
Phocoena phocoena,Phocoena phocoena,621823.492826381,53333.5459444652,Fish,Mammals,Mammals - Fish
Physeter catodon,Physeter catodon,457439.636138768,114903.641525165,Fish,Mammals,Mammals - Fish
Pleuragramma antarcticum,Pleuragramma antarcticum,8612.95094515873,121.380479810693,predacious,Fish,Fish - predacious
Pleurobrachia bachei,Pleurobrachia bachei,8000,812.403840463596,tentacled,Jellyfish,Jellyfish - tentacled
Pleustes panoplus,Pleustes panoplus,2826.79501725216,2128.2883212486,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Podon intermedius,Podon intermedius,566.97178060288,14.3178210632764,sessile herbivorous,Invertebrate,Invertebrate - sessile herbivorous
Podon intermedius,Podon intermedius,482.458061943285,616.480222073676,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Pollachius pollachius,Pollachius pollachius,242545.583711063,36036.3015628488,piscivorous,Fish,Fish - piscivorous
Pollachius virens,Pollachius virens,167103.982041622,42374.725947288,piscivorous,Fish,Fish - piscivorous
Polykrikos kofoidii,Polykrikos kofoidii,43.5,34,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Polykrikos kofoidii,Polykrikos kofoidii,43.5,37.9,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Polyphemus pediculus,Polyphemus pediculus,2347.09147195811,160.874035846574,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Polyplectropus puerilis,Polyplectropus puerilis,829.159156806342,592.002738179614,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Pomatomus saltatrix,Pomatomus saltatrix,84331.6968588624,16038.0554108637,piscivorous,Fish,Fish - piscivorous
Pontella meadi,Pontella meadi,424.667067731039,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Pontella pennata,Pontella pennata,424.667067731039,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Pontoporia blainvillei,Pontoporia blainvillei,3633572.18667025,53333.5459444652,Fish,Mammals,Mammals - Fish
Primno macropa,Primno macropa,7710.2928416282,1637.73289129262,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Procladius sagittalis,Procladius sagittalis,4383.42239767513,2541.94769324182,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Prorocentrum donghaiense,Prorocentrum donghaiense,13.2,5.6,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Prorocentrum micans,Prorocentrum micans,26.6,5.6,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Prorocentrum minimum,Prorocentrum minimum,12.1,5.6,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Prorocentrum triestinum,Prorocentrum triestinum,12.6,5.6,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Protoperidinium bipes,Protoperidinium bipes,7.8,5.9,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Protoperidinium conicum,Protoperidinium conicum,45.7,35.2,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Protoperidinium crassipes,Protoperidinium crassipes,73,36.6,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Protoperidinium depressum,Protoperidinium depressum,81,35.2,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Protoperidinium divergens,Protoperidinium divergens,61,38.2,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Protoperidinium excentricum,Protoperidinium excentricum,35.8,35.2,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Protoperidinium hirobis,Protoperidinium hirobis,8.7,19.7,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Protoperidinium huberi,Protoperidinium huberi,26.5,26.5,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Protoperidinium pallidum,Protoperidinium pallidum,46.6,35.2,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Protoperidinium pellucidum,Protoperidinium pellucidum,36.1,26.5,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Protoperidinium spiniferum,Protoperidinium spiniferum,45,19.7,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Protoperidinium steinii,Protoperidinium steinii,25.8,15,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Protoperidinium vorax,Protoperidinium vorax,21,4,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Pseudocalanus minutus,Pseudocalanus minutus,414,14.4,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Pseudodiaptomus coronatus,Pseudodiaptomus coronatus,424.667067731039,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Pseudosagitta maxima,Pseudosagitta maxima,8743.59045590235,2203.24673341026,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Psychroteuthis glacialis,Psychroteuthis glacialis,113718.38961718,21966.6983836133,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Raja clavata,Raja clavata,181234.725997958,34933.197700053,piscivorous,Fish,Fish - piscivorous
Raja erinacea,Raja erinacea,98189.4145777848,8553.62955246065,piscivorous,Fish,Fish - piscivorous
Raja montagui,Raja montagui,174047.699421024,23227.8023723182,piscivorous,Fish,Fish - piscivorous
Raja naevus,Raja naevus,210704.29393013,19867.1156065942,piscivorous,Fish,Fish - piscivorous
Raja ocellata,Raja ocellata,201354.914069448,31541.3042039172,piscivorous,Fish,Fish - piscivorous
Rhachotropis antarctica,Rhachotropis antarctica,7005.26594964442,10802.2718965565,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Rhincalanus gigas,Rhincalanus gigas,3367.78060192126,2190.0533228654,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Rhincalanus nasutus,Rhincalanus nasutus,424.667067731039,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Rhizophysa eysenhardti,Rhizophysa eysenhardti,2500,6708.20393249937,tentacled,Jellyfish,Jellyfish - tentacled
Rhizoprionodon terraenovae,Rhizoprionodon terraenovae,104039.572783347,29594.0504205146,predacious,Fish,Fish - predacious
Rhodalia miranda,Rhodalia miranda,6592.20765050887,1588.81582727107,tentacled,Jellyfish,Jellyfish - tentacled
Rhopilema verrilli,Rhopilema verrilli,21897.2177014275,689.84497523783,tentacled,Jellyfish,Jellyfish - tentacled
Robertsonia chesapeakensis,Robertsonia chesapeakensis,424.667067731039,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Rosacea cymbiformis,Rosacea cymbiformis,3200,741.619848709566,tentacled,Jellyfish,Jellyfish - tentacled
Sagitta elegans,Sagitta elegans,681.909084849293,173.205080756888,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Sagitta elegans,Sagitta elegans,2156.38586528478,474.341649025257,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Sagitta elegans,Sagitta elegans,4384.0620433566,547.722557505166,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Sagitta elegans,Sagitta elegans,1788.85438199983,479.583152331272,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Sagitta elegans,Sagitta elegans,632.455532033676,433.012701892219,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Sagitta elegans,Sagitta elegans,236.220236220354,69.282032302755,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Sagitta elegans,Sagitta elegans,1385.6406460551,651.920240520265,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Sagitta elegans,Sagitta elegans,1788.85438199983,367.423461417477,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Sagitta elegans,Sagitta elegans,681.909084849293,141.42135623731,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Sagitta elegans,Sagitta elegans,4384.0620433566,264.575131106459,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Sagitta elegans,Sagitta elegans,979.795897113271,447.213595499958,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Sagitta elegans,Sagitta elegans,236.220236220354,77.459666924148,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Sagitta elegans,Sagitta elegans,2156.38586528478,200,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Sagitta enflata,Sagitta enflata,551.361950083609,284.604989415154,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Sagitta friederici,Sagitta friederici,1240.96736459909,264.575131106459,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Sagitta hispida,Sagitta hispida,558.569601750758,132.28756555323,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Sagitta hispida,Sagitta hispida,1873.49939951952,236.643191323985,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Sagitta marri,Sagitta marri,1354.09222154214,2203.24673341026,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Sagitta minima,Sagitta minima,972.625313263026,158.113883008419,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Sagitta setosa,Sagitta setosa,600,178.885438199983,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Sagitta setosa,Sagitta setosa,1897.36659610103,324.037034920393,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Salpa cylindrica,Salpa cylindrica,4100,19.748417658132,Salp,Jellyfish,Jellyfish - Salp
Salpa thompsoni,Salpa thompsoni,6442.33253015115,1927.57321040705,Salp,Jellyfish,Jellyfish - Salp
Scomber scombrus,Scomber scombrus,72933.7782125393,22361.2370887829,piscivorous,Fish,Fish - piscivorous
Scophthalmus aquosus,Scophthalmus aquosus,81956.8407402613,13365.0461757198,piscivorous,Fish,Fish - piscivorous
Scorpaenodes sp.,Scorpaenodes sp.,2133.45363861707,161.369398188186,predacious,Fish,Fish - predacious
Scottolana canadensis,Scottolana canadensis,424.667067731039,424.667067731039,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Scyliorhinus canicula ,Scyliorhinus canicula,91570.7730725618,42026.1897047911,piscivorous,Fish,Fish - piscivorous
Sebastes sp.,Sebastes sp.,3247.9999057188,2983.12917357501,planktivorous,Fish,Fish - planktivorous
Six-species,Six-species sp.,70710.6781186548,31.622776601684,Salp,Jellyfish,Jellyfish - Salp
Solmundella bitentaculata,Solmundella bitentaculata,18471.6251125732,2990.26587343699,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Sotalia fluviatilis,Sotalia fluviatilis,392344.099769132,62182.3492826381,Fish,Mammals,Mammals - Fish
Sotalia guianensis,Sotalia guianensis,457439.636138768,84527.9738971949,Fish,Mammals,Mammals - Fish
Sperchon glandulosus,Sperchon glandulosus,655.146556497435,462.498553880529,swimming predacious,Invertebrate,Invertebrate - swimming predacious
Sphaeronectes gracilis,Sphaeronectes gracilis,800,519.615242270663,tentacled,Jellyfish,Jellyfish - tentacled
Squalus acanthias,Squalus acanthias,167345.297628458,29937.5045476753,piscivorous,Fish,Fish - piscivorous
Stenosemella ventricosa,Stenosemella ventricosa,62,5.92452529743945,Ciliates,Plankton,Plankton - Ciliates
Stoeckeria algicida,Stoeckeria algicida,13.9,11.5,Dinoflagellates,Plankton,Plankton - Dinoflagellates
Strobilidium sp.,Strobilidium sp.,40,6.10245852095694,Ciliates,Plankton,Plankton - Ciliates
Strobilidium spiralis,Strobilidium spiralis,54.7722557505166,4.84974226119286,Ciliates,Plankton,Plankton - Ciliates
Strombidium reticulatum,Strombidium reticulatum,42,7.9,Ciliates,Plankton,Plankton - Ciliates
Strombidium sp.,Strombidium sp.,20,2.8,Ciliates,Plankton,Plankton - Ciliates
Strombidium spp,Strombidium spp,25,3.70405183549043,Ciliates,Plankton,Plankton - Ciliates
Strombidium vestitum,Strombidium vestitum,26,2.1,Ciliates,Plankton,Plankton - Ciliates
Sulculeolaria chuni,Sulculeolaria chuni,1200,282.842712474619,tentacled,Jellyfish,Jellyfish - tentacled
Sulculeolaria quadrivalvis,Sulculeolaria quadrivalvis,800,707.106781186548,tentacled,Jellyfish,Jellyfish - tentacled
Sulculeolaria quadrivalvis,Sulculeolaria quadrivalvis,800,346.410161513775,tentacled,Jellyfish,Jellyfish - tentacled
